frame_id,x,y
0,400,350
1,405,350
2,410,350
3,415,350
4,420,350
5,425,350
6,430,350
7,435,350
8,440,350
9,445,350
10,450,350
11,455,350
12,460,350
13,465,350
14,470,350
15,475,350
16,480,350
17,485,350
18,490,350
19,495,350
20,500,350
21,505,350
22,510,350
23,515,350
24,520,350
25,525,350
26,530,350
27,535,350
28,540,350
29,545,350
30,550,350
31,555,350
32,560,350
33,565,350
34,570,350
35,575,350
36,580,350
37,585,350
38,590,350
39,595,350
40,600,350
41,605,350
42,610,350
43,615,350
44,620,350
45,625,350
46,630,350
47,635,350
48,640,350
49,645,350
50,650,350
51,655,350
52,660,350
53,665,350
54,670,350
55,675,350
56,680,350
57,685,350
58,690,350
59,695,350
60,700,350
61,705,350
62,710,350
63,715,350
64,720,350
65,725,350
66,730,350
67,735,350
68,740,350
69,745,350
70,750,350
71,755,350
72,760,350
73,765,350
74,770,350
75,775,350
76,780,350
77,785,350
78,790,350
79,795,350
80,800,350
81,805,350
82,810,350
83,815,350
84,820,350
85,825,350
86,830,350
87,835,350
88,840,350
89,845,350
90,850,350
91,855,350
92,860,350
93,865,350
94,870,350
95,875,350
96,880,350
97,885,350
98,890,350
99,895,350
100,900,350
101,905,350
102,910,350
103,915,350
104,920,350
105,925,350
106,930,350
107,935,350
108,940,350
109,945,350
110,950,350
111,955,350
112,960,350
113,965,350
114,970,350
115,975,350
116,980,350
117,985,350
118,990,350
119,995,350
120,1000,350
121,1005,350
122,1010,350
123,1015,350
124,1020,350
125,1025,350
126,1030,350
127,1035,350
128,1040,350
129,1045,350
130,1050,350
131,1055,350
132,1060,350
133,1065,350
134,1070,350
135,1075,350
136,1080,350
137,1085,350
138,1090,350
139,1095,350
140,1100,350
141,1105,350
142,1110,350
143,1115,350
144,1120,350
145,1125,350
146,1130,350
147,1135,350
148,1140,350
149,1145,350
150,1150,350
151,1155,350
152,1160,350
153,1165,350
154,1170,350
155,1175,350
156,1180,350
157,1185,350
158,1190,350
159,1195,350
160,1200,350
161,1205,350
162,1210,350
163,1215,350
164,1220,350
165,1225,350
166,1230,350
167,1235,350
168,1240,350
169,1245,350
170,1250,350
171,1255,350
172,1260,350
173,1265,350
174,1270,350
175,1275,350
176,1280,350
177,1285,350
178,1290,350
179,1295,350
180,1300,350
181,1305,350
182,1310,350
183,1315,350
184,1320,350
185,1325,350
186,1330,350
187,1335,350
188,1340,350
189,1345,350
190,1350,350
191,1355,350
192,1360,350
193,1365,350
194,1370,350
195,1375,350
196,1380,350
197,1385,350
198,1390,350
199,1395,350
200,1400,350
201,1405,350
202,1410,350
203,1415,350
204,1420,350
205,1425,350
206,1430,350
207,1435,350
208,1440,350
209,1445,350
210,1450,350
211,1455,350
212,1460,350
213,1465,350
214,1470,350
215,1475,350
216,1480,350
217,1485,350
218,1490,350
219,1495,350
220,1500,350
221,1505,350
222,1510,350
223,1515,350
224,1520,350
225,1525,350
226,1530,350
227,1535,350
228,1540,350
229,1545,350
230,1550,350
231,1555,350
232,1560,350
233,1565,350
234,1570,350
235,1575,350
236,1580,350
237,1585,350
238,1590,350
239,1595,350
240,1600,350
241,1605,350
242,1610,350
243,1615,350
244,1620,350
245,1625,350
246,1630,350
247,1635,350
248,1640,350
249,1645,350
250,1650,350
251,1655,350
252,1660,350
253,1665,350
254,1670,350
255,1675,350
256,1680,350
257,1685,350
258,1690,350
259,1695,350
260,1700,350
261,1705,350
262,1710,350
263,1715,350
264,1720,350
265,1725,350
266,1730,350
267,1735,350
268,1740,350
269,1745,350
270,1750,350
271,1755,350
272,1760,350
273,1765,350
274,1770,350
275,1775,350
276,1780,350
277,1785,350
278,1790,350
279,1795,350
280,1800,350
281,1805,350
282,1810,350
283,1815,350
284,1820,350
285,1825,350
286,1830,350
287,1835,350
288,1840,350
289,1845,350
290,1850,350
291,1855,350
292,1860,350
293,1865,350
294,1870,350
295,1875,350
296,1880,350
297,1885,350
298,1890,350
299,1895,350
